method,dataset,seed,early_ratio,eval_region,test_cb_rmse,validation_metric,best_epoch,parameter_count,run_status,archive_group,source_class,source_sha256,adapter_version,adapter_sha256,model_commit,split_sha256
itransformer,xjtu_lpo,2028,0.3,future,0.26506822264712787,0.30231455713510513,188,155088,complete,iTransformer,repository_archive,eb2b5b9197c23d908b4855ecbc8834994e2e82961eb40b010864788b9b8dc6bb,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,1d1b54651083db19c07334fe0832e42945e73f0c7a9b33badcc9f0b53c939dde
lstm,aging_matrix,2026,0.3,future,0.1892247498035431,0.18804866820573807,146,266640,complete,LSTM,repository_archive,207bf26cf7b2c7c88614bcfa6e4debbbe685e8ba0ccc0dd4e002ded4e6aa5996,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
lstm,aging_matrix,2027,0.3,future,0.18565153181552888,0.1870010420680046,249,266640,complete,LSTM,repository_archive,00f65502c9cfade09098c2f115ee4b384816257fe35984e10cfc288e1c99f598,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
lstm,aging_matrix,2028,0.3,future,0.1948373645544052,0.1937871053814888,138,266640,complete,LSTM,repository_archive,94d548a5fe7bd6e689d87eda73ec7a92ce36ecee8ba5561815451aae077d468d,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,ab36427c6d9611c6b504ff600663f3dd502bc82d0cfa1791d93e561819416cae
lstm,dynamic_cycling,2026,0.3,future,0.1174839226970155,0.11718078014942315,247,268176,complete,LSTM,repository_archive,2df17941a41067383c2d19a7886093f8101566c3f880d35a758e17f7860890d0,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4
lstm,dynamic_cycling,2027,0.3,future,0.12284969773731734,0.11539211926551965,248,268176,complete,LSTM,repository_archive,87a1af40b1f0b5fec6139a0b47b329b3a6f84407c0875f07465f55df1120f484,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4
lstm,dynamic_cycling,2028,0.3,future,0.13158934655305193,0.13293101409306893,249,268176,complete,LSTM,repository_archive,6f4ed0c2ace564bb030bf90dda38db1413e6e3c03a9d23d5b42c3367b52a397d,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4
lstm,isu_ilcc_lpo,2026,0.3,future,0.12473145737609964,0.1383003422783481,95,103184,complete,LSTM,repository_archive,717e8d6690a11f45e64432e810346c449f0200384c33572cdd94e584115f5e00,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9
lstm,isu_ilcc_lpo,2027,0.3,future,0.12885977024648418,0.13274334671182764,152,103184,complete,LSTM,repository_archive,70a06fa3967a60f02e378cddc91c500978615ec49c898db0c02160ea9d1a0aca,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9
lstm,isu_ilcc_lpo,2028,0.3,future,0.1380730643472139,0.1375054701541861,136,103184,complete,LSTM,repository_archive,90b5e36b798582fe695efd3911434bac63483b093a7bec461918b926a316fd77,ca_batteryformer/external_baselines.py,e3e8bf6593c85962b6346f9812ba2072faa229aa7ca702a478a5ac740e4d945a,1adffd51adec812171a694c7fe1415dc841bbabf,cedeb1bff5144d54fd967d905a8f4771c08a927082a2308696300ef6c8e6c0d9
