dataset,seed,cell_id,comparison,family,treatment,reference,rmse_treatment,rmse_reference,delta_rmse,relative_delta,direction,n_future_points
aging_matrix,2029,PreDiag_000203_0001A4,Ag-A0,primary,Ag,A0,0.002701013010422109,0.004058362439820559,-0.0013573494293984498,-0.33445741959371805,improve,164
aging_matrix,2029,PreDiag_000213_0001CF,Ag-A0,primary,Ag,A0,0.004324579162203202,0.004434958842095078,-0.00011037967989187616,-0.024888546618334055,improve,142
aging_matrix,2029,PreDiag_000240_000227,Ag-A0,primary,Ag,A0,0.002018899477823452,0.0036828552517094216,-0.0016639557738859696,-0.4518113420595701,improve,160
aging_matrix,2029,PreDiag_000243_00022C,Ag-A0,primary,Ag,A0,0.0021372552505098657,0.003874930726233201,-0.0017376754757233354,-0.44844039764615873,improve,164
aging_matrix,2029,PreDiag_000255_000214,Ag-A0,primary,Ag,A0,0.005002513351453675,0.006286885009678012,-0.0012843716582243364,-0.20429380468183825,improve,164
aging_matrix,2029,PreDiag_000203_0001A4,Abc-A0,primary,Abc,A0,0.002701013010422109,0.004058362439820559,-0.0013573494293984498,-0.33445741959371805,improve,164
aging_matrix,2029,PreDiag_000213_0001CF,Abc-A0,primary,Abc,A0,0.004324579162203202,0.004434958842095078,-0.00011037967989187616,-0.024888546618334055,improve,142
aging_matrix,2029,PreDiag_000240_000227,Abc-A0,primary,Abc,A0,0.002018899477823452,0.0036828552517094216,-0.0016639557738859696,-0.4518113420595701,improve,160
aging_matrix,2029,PreDiag_000243_00022C,Abc-A0,primary,Abc,A0,0.0021372552505098657,0.003874930726233201,-0.0017376754757233354,-0.44844039764615873,improve,164
aging_matrix,2029,PreDiag_000255_000214,Abc-A0,primary,Abc,A0,0.005002513351453675,0.006286885009678012,-0.0012843716582243364,-0.20429380468183825,improve,164
aging_matrix,2029,PreDiag_000203_0001A4,Ac-A0,primary,Ac,A0,0.004058362439820559,0.004058362439820559,0.0,0.0,equal,164
aging_matrix,2029,PreDiag_000213_0001CF,Ac-A0,primary,Ac,A0,0.004434958842095078,0.004434958842095078,0.0,0.0,equal,142
aging_matrix,2029,PreDiag_000240_000227,Ac-A0,primary,Ac,A0,0.0036828552517094216,0.0036828552517094216,0.0,0.0,equal,160
aging_matrix,2029,PreDiag_000243_00022C,Ac-A0,primary,Ac,A0,0.003874930726233201,0.003874930726233201,0.0,0.0,equal,164
aging_matrix,2029,PreDiag_000255_000214,Ac-A0,primary,Ac,A0,0.006286885009678012,0.006286885009678012,0.0,0.0,equal,164
aging_matrix,2029,PreDiag_000203_0001A4,Ab-A0,secondary,Ab,A0,0.002701013010422109,0.004058362439820559,-0.0013573494293984498,-0.33445741959371805,improve,164
aging_matrix,2029,PreDiag_000213_0001CF,Ab-A0,secondary,Ab,A0,0.004324579162203202,0.004434958842095078,-0.00011037967989187616,-0.024888546618334055,improve,142
aging_matrix,2029,PreDiag_000240_000227,Ab-A0,secondary,Ab,A0,0.002018899477823452,0.0036828552517094216,-0.0016639557738859696,-0.4518113420595701,improve,160
aging_matrix,2029,PreDiag_000243_00022C,Ab-A0,secondary,Ab,A0,0.0021372552505098657,0.003874930726233201,-0.0017376754757233354,-0.44844039764615873,improve,164
aging_matrix,2029,PreDiag_000255_000214,Ab-A0,secondary,Ab,A0,0.005002513351453675,0.006286885009678012,-0.0012843716582243364,-0.20429380468183825,improve,164
aging_matrix,2029,PreDiag_000203_0001A4,Ag-Abc,secondary,Ag,Abc,0.002701013010422109,0.002701013010422109,0.0,0.0,equal,164
aging_matrix,2029,PreDiag_000213_0001CF,Ag-Abc,secondary,Ag,Abc,0.004324579162203202,0.004324579162203202,0.0,0.0,equal,142
aging_matrix,2029,PreDiag_000240_000227,Ag-Abc,secondary,Ag,Abc,0.002018899477823452,0.002018899477823452,0.0,0.0,equal,160
aging_matrix,2029,PreDiag_000243_00022C,Ag-Abc,secondary,Ag,Abc,0.0021372552505098657,0.0021372552505098657,0.0,0.0,equal,164
aging_matrix,2029,PreDiag_000255_000214,Ag-Abc,secondary,Ag,Abc,0.005002513351453675,0.005002513351453675,0.0,0.0,equal,164
dynamic_cycling,2026,cell_009,Ag-A0,primary,Ag,A0,0.0030451573796261575,0.0011467768312476419,0.0018983805483785156,1.6554053907011381,worse,1147
dynamic_cycling,2026,cell_010,Ag-A0,primary,Ag,A0,0.0015915220427023713,0.0009927110460507718,0.0005988109966515995,0.6032077501643651,worse,1147
dynamic_cycling,2026,cell_019,Ag-A0,primary,Ag,A0,0.0110446528985824,0.010844363565148714,0.00020028933343368624,0.018469441035467497,worse,1147
dynamic_cycling,2026,cell_020,Ag-A0,primary,Ag,A0,0.009448437152709254,0.00923986021683796,0.0002085769358712939,0.022573602952477623,worse,1147
dynamic_cycling,2026,cell_030,Ag-A0,primary,Ag,A0,0.00258724326621886,0.0021971560508464165,0.0003900872153724433,0.17754187975049335,worse,1132
dynamic_cycling,2026,cell_031,Ag-A0,primary,Ag,A0,0.005342772683523432,0.004547483978231225,0.0007952887052922073,0.17488543315364036,worse,1085
dynamic_cycling,2026,cell_033,Ag-A0,primary,Ag,A0,0.0028384998662970046,0.0032884509807754774,-0.0004499511144784728,-0.13682767877913327,improve,1304
dynamic_cycling,2026,cell_045,Ag-A0,primary,Ag,A0,0.0027767876715634296,0.0029254209191042473,-0.00014863324754081772,-0.050807474086952464,improve,1575
dynamic_cycling,2026,cell_050,Ag-A0,primary,Ag,A0,0.0040856593374901835,0.005031328686066577,-0.0009456693485763931,-0.1879561856483887,improve,1004
dynamic_cycling,2026,cell_054,Ag-A0,primary,Ag,A0,0.0020786479080415225,0.0019513795116094565,0.00012726839643206604,0.06521970517518541,worse,1932
dynamic_cycling,2026,cell_056,Ag-A0,primary,Ag,A0,0.0038363483623103977,0.002651117788886706,0.0011852305734236916,0.4470682435884563,worse,1004
dynamic_cycling,2026,cell_060,Ag-A0,primary,Ag,A0,0.0025329210765494,0.0028373801570357646,-0.0003044590804863645,-0.10730288633738651,improve,1218
dynamic_cycling,2026,cell_068,Ag-A0,primary,Ag,A0,0.003121876752384435,0.0033270689288845898,-0.00020519217650015464,-0.061673557382216894,improve,1290
