dataset,dataset_label,panel,included_in_main_figure,series,arm,tau,median_soh,q25_soh,q75_soh,n_unique_test_cells,n_seeds,n_trajectories,aggregation_unit,interpolation,source_split
mit,MIT,a,True,Truth,truth,0.55555556,0.970884495244,0.964041128484,0.972688463095,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.56565657,0.969781306241,0.963493122427,0.971318339285,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.57575758,0.96825393599,0.961981157577,0.970730901003,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.58585859,0.966835617078,0.960436585538,0.9691899602,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.59595960,0.963886579876,0.958903106142,0.96712774346,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.60606061,0.963657983443,0.95759367636,0.965792171611,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.61616162,0.961706478036,0.95581800768,0.96424372209,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.62626263,0.959967708712,0.954413999362,0.962277186881,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.63636364,0.957895514067,0.952203170803,0.960359985176,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.64646465,0.955272289892,0.949780174814,0.958263525288,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.65656566,0.953850656714,0.948960568402,0.956151347048,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.66666667,0.952173957452,0.947350048404,0.953720598526,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.67676768,0.949184799737,0.943567442919,0.951145316661,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.68686869,0.947141875913,0.942474243046,0.948647558125,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.69696970,0.944343216452,0.940391018387,0.945969645741,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.70707071,0.941254061873,0.938152576739,0.942852201794,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.71717172,0.937750933972,0.934279434068,0.940469341658,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.72727273,0.934282327096,0.930792502242,0.936797450293,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.73737374,0.930904811025,0.92695334085,0.934327532263,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.74747475,0.927446244958,0.922960132292,0.931446255106,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.75757576,0.923124707481,0.918398837527,0.927906183737,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
